Fecha,Unidades
2012-06-30,616.0087154833258
2012-07-01,-37.65017566740317
2012-07-02,764.6275663509911
2012-07-03,1140.3881562396205
2012-07-04,1235.6912318244902
2012-07-05,1260.524461854494
2012-07-06,1302.4670639486214
2012-07-07,387.2685033351208
2012-07-08,63.31043649446477
2012-07-09,917.9819640712924
2012-07-10,1118.9259793463257
2012-07-11,1366.0651190220099
2012-07-12,1396.2062337474833
2012-07-13,1347.9778867048042
2012-07-14,375.79823804587926
2012-07-15,-4.663297031925824
2012-07-16,832.5549710700327
2012-07-17,1049.2712402649986
2012-07-18,1153.146170920426
2012-07-19,1229.1455817186577
2012-07-20,927.8573658736595
2012-07-21,292.17676136548727
2012-07-22,-42.099573442596025
2012-07-23,816.2267253436912
2012-07-24,943.7921158490337
